Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1759429820032,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,0,2.4390242099761963,0,0,0,0,0,0,0,0,37348.757568359375,120808.73028564453,81002.22454833984,4225.029235839844,33403068416,8589930496,6302240768,0
199,1759429820232,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,4.761904716491699,0,0,0,0,0,5,0,4.761904716491699,0,37349.032775878906,120809.16052246094,81002.39440917969,4225.029235839844,33403068416,8589930496,6302240768,0
200,1759429820432,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,4.761904716491699,0,0,0,0,0,5,0,4.761904716491699,0,37349.30975341797,120809.63916015625,81002.61486816406,4225.029235839844,33403068416,8589930496,6300631040,0
200,1759429820632,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,0,2.5641026496887207,0,0,0,0,2.5,0,5,0,2.5,37349.59619140625,120810.42858886719,81003.11462402344,4225.029235839844,33403068416,8589930496,6300631040,0
200,1759429820833,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,5,0,4.761904716491699,9.523809432983398,0,5,0,9.523809432983398,5.263157844543457,0,37349.90887451172,120811.90802001953,81004.265625,4225.0528564453125,33403068416,8589930496,6311645184,0
200,1759429821033,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,0,5,0,4.761904716491699,9.523809432983398,0,5,0,9.523809432983398,5.263157844543457,0,37350.207275390625,120812.48211669922,81004.53857421875,4225.056457519531,33403068416,8589930496,6303387648,0
200,1759429821233,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,2.5641026496887207,0,5,4.878048419952393,0,0,5,0,2.6315789222717285,0,12.5,0,37350.477111816406,120812.93151855469,81004.73504638672,4225.056457519531,33403068416,8589930496,6300160000,0
200,1759429821433,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,2.5641026496887207,0,5,4.878048419952393,0,0,5,0,2.6315789222717285,0,12.5,0,37350.80828857422,120814.63098144531,81006.05267333984,4225.125244140625,33403068416,8589930496,6305140736,0
200,1759429821634,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,7.317072868347168,5,2.5,0,0,2.5,0,2.5641026496887207,5,2.5641026496887207,2.5641026496887207,0,37351.085205078125,120815.06103515625,81006.22717285156,4225.125244140625,33403068416,8589930496,6304911360,0
199,1759429821834,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,37351.35632324219,120815.51397705078,81006.42547607422,4225.125244140625,33403068416,8589930496,6304911360,0
200,1759429822034,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,37351.72961425781,120818.93811035156,81009.33795166016,4225.306335449219,33403068416,8589930496,6331011072,0
199,1759429822234,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,2.6315789222717285,2.6315789222717285,10.256410598754883,5.128205299377441,4.878048419952393,7.692307949066162,4.878048419952393,2.5,7.692307949066162,0,35,0,37352.038513183594,120819.57781982422,81009.63201904297,4225.351501464844,33403068416,8589930496,6329573376,0
199,1759429822434,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,25,38.095237731933594,9.523809432983398,5,5,35,35,20,35,35,85,35,37352.46014404297,120826.79223632813,81016.55853271484,4225.351501464844,33403068416,8589930496,6338228224,0
200,1759429822634,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,25,42.105262756347656,15.789472579956055,5,21.052631378173828,45,45,15.789472579956055,20,33.333335876464844,100,45,37352.96228027344,120835.37292480469,81024.68383789063,4225.351501464844,33403068416,8589930496,6338736128,0
200,1759429822834,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,0,0,10,5,10,9.523809432983398,5.263157844543457,5,100,5,37353.35400390625,120840.47149658203,81029.43395996094,4225.351501464844,33403068416,8589930496,6339223552,0
200,1759429823034,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,0,5,0,4.761904716491699,5,5,5.263157844543457,5,9.523809432983398,0,100,10,37353.73455810547,120845.82293701172,81034.43585205078,4225.358459472656,33403068416,8589930496,6339997696,0
199,1759429823234,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,9.523809432983398,10,5,4.761904716491699,9.523809432983398,5,10,0,5,85,0,37354.17492675781,120851.18115234375,81039.19189453125,4225.587646484375,33403068416,8589930496,6342782976,0
200,1759429823434,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,5,9.523809432983398,10,5,4.761904716491699,9.523809432983398,5,10,0,5,85,0,37354.60534667969,120855.51879882813,81042.60260009766,4226.140625,33403068416,8589930496,6347333632,0
200,1759429823634,4402,800,4301,3499,4301,4400,4359,4395,4398,4307,800,3202,7.500000476837158,10.526315689086914,5,5.128205299377441,2.5641026496887207,0,5,2.6315789222717285,2.4390242099761963,5,28.205129623413086,9.756096839904785,37355.01184082031,120859.38073730469,81045.68249511719,4226.569519042969,33403068416,8589930496,6347579392,0
