entry_id,run_id,subject,gc,workload,jdk,energy_j,runtime_s,batch_source,throughput_idx,workload_k,throughput,energy_per_op,power_w,edp,nee,power_mean,power_ratio,cop,throughput_scaled,is_frontier,eff_index
66,run_36,TodoApp,G1,Heavy,oracle,691.895202,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,138.3790404,2.306240465317823,207575.47955202,1.856574859668841,2.306240465317823,0.5226392743355948,0.4336061286923044,0.016666111129629013,False,4.1
67,run_47,ANDIE,Parallel,Medium,oracle,348.86422,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,116.28807333333332,1.9380268873951447,62799.04824219999,1.4649921400716777,1.9380268873951447,0.594148279754867,0.5159887133166021,0.016665740792178214,False,6.3
68,run_14,PetClinic,G1,Medium,openjdk,647.828298,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,215.942766,3.5988461641019946,116615.57192298,1.4387769441273293,3.5988461641019946,0.6195181129565098,0.2778668368697904,0.016665740792178214,False,15.1
69,run_53,ANDIE,G1,Medium,oracle,404.728029,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,134.909343,2.2483641408810624,72855.09250028999,1.6995820934336632,2.2483641408810624,0.6892895528206587,0.44476781221396455,0.016665740792178214,False,15.1
70,run_33,TodoApp,G1,Heavy,openjdk,2587.378875,300.0,service_apps,0.0033333333333333335,5,0.0166666666666666,517.475775,8.62459625,776213.6625,6.94276034560975,8.62459625,1.9545024871967573,0.11594745667079778,0.016666666666666666,False,17.0
71,run_9,PetClinic,Parallel,Heavy,openjdk,759.4134,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,151.88268,2.531293623545882,227831.614134,1.6865988941121328,2.531293623545882,0.4357458411644258,0.39505492002116366,0.016666111129629013,False,3.2
72,run_31,TodoApp,G1,Light,openjdk,413.662821,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,413.662821,3.4469029330889094,49643.67514821,1.1099888995158718,3.4469029330889094,0.7811357379017101,0.29011550931718855,0.008332638946754437,False,14.2
73,run_52,ANDIE,G1,Light,oracle,240.81054,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,240.81054,2.006587284392967,28899.672905400002,1.0112402709180561,2.006587284392967,0.6151671016300979,0.49835858513501946,0.008332638946754437,False,5.8
74,run_42,ANDIE,Serial,Heavy,oracle,561.29965,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,112.25993,1.8709364687843741,168395.5079965,2.357076273041081,1.8709364687843741,0.5735801147490655,0.5344916926279929,0.016666111129629013,False,4.8
75,run_53,ANDIE,G1,Medium,oracle,401.656808,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,133.88560266666667,2.231302749847231,72302.24200808,1.6866850568002616,2.231302749847231,0.684058977229109,0.4481686763790644,0.016665740792178214,False,13.5
76,run_43,ANDIE,Parallel,Light,openjdk,279.513261,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,279.513261,2.329083084742938,33544.38645261,1.173765341744715,2.329083084742938,0.7140358666881735,0.42935351106651076,0.008332638946754437,False,15.4
77,run_21,TodoApp,Serial,Heavy,openjdk,699.751016,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,139.9502032,2.332425639145362,209932.30231016,1.8776545068935582,2.332425639145362,0.5285733477565512,0.4287382127931058,0.016666111129629013,False,7.3
78,run_41,ANDIE,Serial,Medium,oracle,408.594169,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,136.19805633333334,2.2698415032498196,73551.03636169,1.7158172485103769,2.2698415032498196,0.6958739495532658,0.44055939525656806,0.016665740792178214,False,18.3
79,run_54,ANDIE,G1,Heavy,oracle,673.105332,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,134.6210664,2.2436096530115663,201938.33065331998,2.826583995401813,2.2436096530115663,0.6878319513770723,0.4457103305192656,0.016666111129629013,False,18.4
80,run_54,ANDIE,G1,Heavy,oracle,672.145435,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,134.429087,2.240410102996567,201650.35195435,2.822553081712016,2.240410102996567,0.6868510531502389,0.446346853490123,0.016666111129629013,False,17.6
81,run_28,TodoApp,Parallel,Light,oracle,1078.565049,120.04,service_apps,0.008330556481172941,1,0.0083305564811729,1078.565049,8.985047059313562,129470.94848196002,2.8941330257857336,8.985047059313562,2.0361877027006647,0.1112960225359574,0.008330556481172941,False,21.6
82,run_4,PetClinic,Serial,Light,oracle,1537.460908,120.0,service_apps,0.008333333333333333,1,0.0083333333333333,1537.460908,12.812174233333334,184495.30896,3.414582712358559,12.812174233333334,2.2055330075174986,0.07805076498244208,0.008333333333333333,False,19.5
83,run_37,ANDIE,Serial,Light,openjdk,274.380462,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,274.380462,2.286313323889676,32928.399244620006,1.1522110814896285,2.286313323889676,0.7009237783049995,0.43738537039127806,0.008332638946754437,False,9.0
84,run_27,TodoApp,Parallel,Heavy,openjdk,782.682139,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,156.5364278,2.6088535015499486,234812.46852139,2.100185083201709,2.6088535015499486,0.5912173172757327,0.38331013964789096,0.016666111129629013,False,9.7
85,run_51,ANDIE,G1,Heavy,openjdk,565.40468,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,113.080936,1.884619446018466,169627.0580468,2.374314603428641,1.884619446018466,0.5777749571624685,0.5306111014150078,0.016666111129629013,False,6.4
86,run_51,ANDIE,G1,Heavy,openjdk,652.232034,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,130.4464068,2.1740343121895935,195676.13252034,2.73893035896018,2.1740343121895935,0.6665019743103996,0.4599743409720351,0.016666111129629013,False,12.0
87,run_11,PetClinic,Parallel,Medium,oracle,1739.742494,180.03,service_apps,0.005554629783924902,3,0.0166638893517747,579.9141646666667,9.66362547353219,313205.84119482,3.863834594464996,9.66362547353219,1.6635306830835266,0.10348083157184755,0.016663889351774704,False,21.3
88,run_9,PetClinic,Parallel,Heavy,openjdk,880.352422,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,176.0704844,2.9344102596580117,264114.53012422,1.9551951827214764,2.9344102596580117,0.5051397653050756,0.3407839775330339,0.016666111129629013,False,12.8
89,run_48,ANDIE,Parallel,Heavy,oracle,665.707219,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,133.1414438,2.2189500983300556,199718.82277219,2.795516959073576,2.2189500983300556,0.6802719778344796,0.4506635821835665,0.016666111129629013,False,16.0
90,run_25,TodoApp,Parallel,Light,openjdk,411.243637,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,411.243637,3.426744746271144,49353.34887637,1.1034974595082951,3.426744746271144,0.7765674978205933,0.29182214435089243,0.008332638946754437,False,11.0
91,run_11,PetClinic,Parallel,Medium,oracle,633.044766,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,211.014922,3.516719993333704,113954.38832766,1.405943853847027,3.516719993333704,0.6053806233226868,0.2843558776062924,0.016665740792178214,False,11.1
92,run_42,ANDIE,Serial,Heavy,oracle,664.899542,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,132.9799084,2.2162579314022866,199476.51159542,2.7921252657187323,2.2162579314022866,0.6794466299719962,0.4512110191828046,0.016666111129629013,False,15.2
93,run_6,PetClinic,Serial,Heavy,oracle,785.846132,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,157.1692264,2.619399793340222,235761.69806132,1.745303963787704,2.619399793340222,0.4509127489904054,0.3817668469480995,0.016666111129629013,False,5.6
94,run_32,TodoApp,G1,Medium,openjdk,480.221854,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,160.07395133333333,2.6677509805010833,86444.73593853999,1.2885879517920988,2.6677509805010833,0.6045646399518071,0.3748475803435634,0.016665740792178214,False,4.1
95,run_46,ANDIE,Parallel,Light,oracle,238.133851,120.01,service_apps,0.008332638946754437,1,0.0083326389467544,238.133851,1.984283401383218,28578.44345851,1.0,1.984283401383218,0.6083293153185222,0.5039602706462762,0.008332638946754437,True,3.4
96,run_23,TodoApp,Serial,Medium,oracle,1508.063278,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,502.68775933333336,8.377663896450198,271466.47067278,4.046613360854875,8.377663896450198,1.8985427778732702,0.11936501778541417,0.016665740792178214,False,17.7
97,run_45,ANDIE,Parallel,Heavy,openjdk,645.609126,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,129.1218252,2.151958688043732,193689.19389126,2.7111186557009064,2.151958688043732,0.659734166187568,0.464692935582822,0.016666111129629013,False,9.6
98,run_11,PetClinic,Parallel,Medium,oracle,635.123252,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,211.70775066666667,3.528266496305761,114328.53659251999,1.410560011777645,3.528266496305761,0.6073682792007981,0.2834253027788691,0.016665740792178214,False,11.9
99,run_3,PetClinic,Serial,Heavy,openjdk,778.434653,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,155.6869306,2.59469568681044,233538.18024653,1.7288436375870664,2.59469568681044,0.44666009667859813,0.38540165040674257,0.016666111129629013,False,4.0
100,run_12,PetClinic,Parallel,Heavy,oracle,789.850883,300.01,service_apps,0.0033332222259258026,5,0.016666111129629,157.9701766,2.6327485183827206,236963.16340882998,1.7541982084873555,2.6327485183827206,0.45321064575276054,0.37983118897139984,0.016666111129629013,False,7.2
101,run_44,ANDIE,Parallel,Medium,openjdk,407.283869,180.01,service_apps,0.005555246930726071,3,0.0166657407921782,135.76128966666667,2.262562463196489,73315.16925868999,1.7103148808524495,2.262562463196489,0.6936423865372511,0.44197674816333077,0.016665740792178214,False,17.5
